date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:02	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:31:02	9596/9596	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2015:31:02%20GMT	https://www.tarjetas.cool/modelos/cumple/super_mario_bros/	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/modelos/cumple/super_mario_bros/index.html	(from )
12:31:02	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionMarioBros/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:02	88585/88585	---MCZ	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionMarioBros/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:03	9785/9785	---M-Z	200	added ('OK')	text/css	etag:%222639-66636fb8-efd27298167159f2;gz%22	https://www.tarjetas.cool/modelos/cumple/super_mario_bros/css/styles.css?v=24	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/modelos/cumple/super_mario_bros/css/styles7893.css	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:03	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:03	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:03	7715/7715	---M--	200	added ('OK')	image/jpeg	etag:%221e23-66636fba-f22d79202a124da4;;;%22	https://www.tarjetas.cool/modelos/cumple/super_mario_bros/img/foto1.jpg	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/modelos/cumple/super_mario_bros/img/foto1.jpg	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:04	45105/45105	---M--	200	added ('OK')	image/png	etag:%22b031-66636fb9-15f9cd704915c1dc;;;%22	https://www.tarjetas.cool/modelos/cumple/super_mario_bros/img/1.png	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/modelos/cumple/super_mario_bros/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
12:31:04	7165/7165	---M--	200	added ('OK')	image/png	etag:%221bfd-66636fba-e850eb2f4167751f;;;%22	https://www.tarjetas.cool/modelos/cumple/super_mario_bros/img/timer.png	C:/Mis%20lugares%20Web/invitacionMarioBros/www.tarjetas.cool/modelos/cumple/super_mario_bros/img/timer.png	(from https://www.tarjetas.cool/modelos/cumple/super_mario_bros/)
